,store,antecedent,consequent,lift
0,3509,4316677,4286677,1984.9516129032259
1,3509,4316677,4336677,1984.9516129032259
2,3509,1562109,3592109,1864.6515151515152
3,3509,5680800,6780800,1783.5797101449277
4,3509,2550800,2690800,1758.1
5,3509,2950556,150930,1663.0675675675675
6,3509,2950556,3170556,1663.0675675675675
7,3509,3170556,170888,1663.0675675675675
8,3509,3170556,170888,1663.0675675675675
9,3509,3170556,150930,1663.0675675675675
10,3509,2950556,150930,1663.0675675675675
11,3509,3170556,150930,1663.0675675675675
12,3509,2950556,170888,1663.0675675675675
13,3509,2950556,3170556,1663.0675675675675
14,3509,2950556,3170556,1663.0675675675675
15,3509,2950556,150930,1663.0675675675675
16,3509,3170556,480888,1640.8933333333332
17,3509,2950556,480888,1640.8933333333332
18,3509,2950556,160930,1640.8933333333332
19,3509,2950556,3170556,1640.8933333333332
20,3509,2950556,170888,1640.8933333333332
21,3509,3170556,170888,1640.8933333333332
22,3509,3170556,3220556,1640.8933333333332
23,3509,170888,480888,1640.8933333333332
24,3509,3170556,3220556,1640.8933333333332
25,3509,3220556,170888,1640.8933333333332
26,3509,480888,3220556,1640.8933333333332
27,3509,3220556,150930,1640.8933333333332
28,3509,2950556,3170556,1640.8933333333332
29,3509,3170556,150930,1640.8933333333332
30,3509,2950556,480888,1640.8933333333332
31,3509,2950556,150930,1640.8933333333332
32,3509,3170556,170888,1640.8933333333332
33,3509,3220556,170888,1640.8933333333332
34,3509,150930,170888,1640.8933333333332
35,3509,2950556,3170556,1640.8933333333332
36,3509,2950556,3220556,1640.8933333333332
37,3509,3170556,480888,1640.8933333333332
38,3509,2950556,480888,1640.8933333333332
39,3509,2950556,170888,1640.8933333333332
40,3509,3170556,480888,1640.8933333333332
41,3509,2950556,150930,1640.8933333333332
42,3509,170888,160930,1640.8933333333332
43,3509,3170556,160930,1640.8933333333332
44,3509,3220556,160930,1640.8933333333332
45,3509,3220556,150930,1640.8933333333332
46,3509,3170556,150930,1640.8933333333332
47,3509,3170556,150930,1640.8933333333332
48,3509,3220556,150930,1640.8933333333332
49,3509,2950556,150930,1640.8933333333332
50,3509,2950556,3170556,1640.8933333333332
51,3509,2950556,3170556,1640.8933333333332
52,3509,3170556,480888,1640.8933333333332
53,3509,2950556,3170556,1640.8933333333332
54,3509,2950556,3170556,1640.8933333333332
55,3509,2950556,480888,1640.8933333333332
56,3509,2950556,480888,1640.8933333333332
57,3509,2950556,3170556,1640.8933333333332
58,3509,150930,170888,1640.8933333333332
59,3509,2950556,170888,1640.8933333333332
60,3509,3170556,150930,1640.8933333333332
61,3509,2950556,150930,1640.8933333333332
62,3509,2950556,3170556,1640.8933333333332
63,3509,3170556,480888,1640.8933333333332
64,3509,2950556,3170556,1640.8933333333332
65,3509,2950556,3170556,1640.8933333333332
66,3509,2950556,150930,1640.8933333333332
67,3509,2950556,3170556,1640.8933333333332
68,3509,2950556,3220556,1640.8933333333332
69,3509,6592108,6732108,1619.3026315789473
70,3609,2282109,3592109,1605.2201834862385
71,3509,2950556,150930,1598.2727272727273
72,3509,3170556,3220556,1598.2727272727273
73,3509,2950556,3220556,1598.2727272727273
74,3509,3170556,150930,1598.2727272727273
75,3509,2950556,3220556,1598.2727272727273
76,3509,2950556,3220556,1598.2727272727273
77,3509,2950556,3220556,1598.2727272727273
78,3509,3170556,150930,1598.2727272727273
79,3509,3220556,170888,1598.2727272727273
80,3509,3170556,3220556,1598.2727272727273
81,3509,3220556,170888,1598.2727272727273
82,3509,3170556,150930,1598.2727272727273
83,3509,2950556,3220556,1598.2727272727273
84,3509,2950556,3170556,1598.2727272727273
85,3509,2950556,150930,1598.2727272727273
86,3509,2950556,3170556,1598.2727272727273
87,3509,3220556,150930,1598.2727272727273
88,3509,2950556,3170556,1598.2727272727273
89,3509,2950556,150930,1598.2727272727273
90,3509,3170556,3220556,1598.2727272727273
91,3509,2950556,150930,1598.2727272727273
92,3509,3170556,3220556,1598.2727272727273
93,3509,2950556,3220556,1598.2727272727273
94,3509,2690800,2310800,1598.2727272727273
95,3509,3220556,150930,1598.2727272727273
96,3509,2950556,3220556,1598.2727272727273
97,3509,3103309,7903513,1598.2727272727273
98,3509,3170556,3220556,1598.2727272727273
99,3509,2950556,3170556,1598.2727272727273
100,3509,5996458,5986458,1598.272727272727
101,3509,3103309,2044365,1590.7602820211516
102,3609,1988302,2478302,1567.2545289855072
103,3609,2448302,1958302,1552.9792899408283
104,3509,4316677,4286677,1538.3374999999999
105,3509,4286677,4336677,1538.3374999999999
106,3509,1362472,1752472,1500.8170731707316
107,3509,5996458,5986458,1496.7608108108104
108,3509,5996458,6006458,1496.7608108108104
109,3509,8422644,8412644,1482.734939759036
110,3609,6592108,6732108,1475.4330357142856
111,3509,6712108,6732108,1461.3218870346598
112,3509,1362472,1752472,1447.8470588235293
113,3509,5986458,6006458,1438.4454545454544
114,3509,4036061,4056061,1431.0116279069766
115,3509,4046061,4036061,1431.0116279069766
116,3509,5382521,5362521,1424.9660460021905
117,3609,5386691,5396691,1420.9951599671863
118,3509,2950556,170888,1414.5632183908046
119,3509,2950556,150930,1414.5632183908046
120,3509,2950556,3170556,1414.5632183908046
121,3509,2950556,170888,1414.5632183908046
122,3509,8352157,7792157,1414.5632183908046
123,3509,1752472,1652472,1414.5632183908046
124,3509,2950556,150930,1414.5632183908046
125,3509,7792157,8352157,1414.5632183908046
126,3609,6452109,3592109,1375.903014416776
127,3509,2950556,3170556,1374.8025225225222
128,3509,3170556,3220556,1374.8025225225222
129,3509,2950556,3220556,1374.8025225225222
130,3509,3170556,480888,1374.8025225225222
131,3509,2950556,3220556,1374.8025225225222
132,3509,1362472,1652472,1364.6374577417173
133,3509,2950556,3220556,1359.4503657262278
134,3509,6592108,6732108,1352.8351099267152
135,3509,2550800,2690800,1337.6847826086955
136,3509,4046061,4056061,1334.5389338907762
137,3509,5472521,5452521,1325.5515873015872
138,3509,8702108,760888,1323.3010752688172
139,3509,8702108,760888,1323.3010752688172
140,3509,8702108,9862108,1323.3010752688172
141,3509,4046061,4036061,1322.6546165119687
142,3509,3220556,480888,1321.2387878787877
143,3509,150930,170888,1309.223404255319
144,3509,6532574,6402574,1305.2560606060606
145,3609,6510353,6520353,1301.8526785714287
146,3509,5472521,5482521,1281.9479166666665
147,3509,2963309,183532,1274.2899243329352
148,3509,6592108,6712108,1253.8471750540289
149,3609,6510353,6500353,1252.501400560224
150,3509,5452521,5482521,1251.0823970037454
151,3509,2550800,2310800,1216.0770750988142
152,3509,5472521,5452521,1209.9283707865168
153,3509,150930,170888,1194.8252427184466
154,3509,2950556,480888,1169.3722605363982
155,3609,6520353,6500353,1155.2575030012006
156,3609,7658632,7648632,1152.3495967741933
157,3509,160930,480888,1150.1588785046729
158,3509,170888,160930,1150.1588785046729
